N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,신풍제약,"95,800","4,700",-4.68%,500,"50,760","52,985",11.71,"1,533,809",939.22,2.57,
60,이마트,"174,000","2,000",+1.16%,"5,000","48,504","27,876",30.06,"85,114",13.41,4.05,
61,현대건설,"43,500",500,+1.16%,"5,000","48,440","111,356",19.31,"591,378",39.62,1.84,
62,LG이노텍,"204,500","1,000",+0.49%,"5,000","48,399","23,667",30.31,"126,829",20.50,10.20,
63,한국금융지주,"86,100","1,000",+1.18%,"5,000","47,980","55,726",31.42,"143,574",6.14,16.27,
64,코웨이,"65,000",100,-0.15%,500,"47,970","73,800",58.65,"197,572",13.43,30.74,
65,KODEX 200,"41,490",150,+0.36%,0,"47,216","113,800",8.45,"7,011,007",N/A,N/A,
66,두산중공업,"12,200",150,+1.24%,"5,000","45,706","374,637",9.99,"1,755,074",-3.11,-37.20,
67,SKC,"119,000","6,500",+5.78%,"5,000","45,063","37,868",8.48,"489,497",120.32,2.21,
68,맥쿼리인프라,"11,500",200,+1.77%,0,"42,802","372,192",14.70,"2,092,968",N/A,N/A,
69,삼성중공업,"6,790",50,-0.73%,"5,000","42,777","630,000",15.65,"7,903,121",-2.89,-33.06,
70,유한양행,"60,900",100,-0.16%,"1,000","42,614","69,973",19.28,"107,683",22.48,11.06,
71,현대중공업지주,"268,500",500,+0.19%,"5,000","42,419","15,799",17.53,"23,085",-35.19,-8.12,
72,녹십자,"355,500","9,500",-2.60%,"5,000","41,546","11,687",18.64,"73,642",51.26,7.48,
73,CJ대한통운,"177,500","2,500",-1.39%,"5,000","40,492","22,812",21.68,"178,608",32.91,3.89,
74,한미사이언스,"58,900",100,-0.17%,500,"39,642","67,305",1.55,"60,750",175.30,3.47,
75,삼성카드,"33,750",150,+0.45%,"5,000","39,102","115,859",11.25,"45,432",9.49,5.04,
76,한진칼,"58,200",300,-0.51%,"2,500","38,565","66,263",15.44,"28,234",-13.00,-19.55,
77,한미약품,"318,500","2,000",+0.63%,"2,500","38,469","12,078",13.42,"16,713",321.72,1.65,
78,두산밥캣,"36,600",700,+1.95%,500,"36,691","100,249",23.15,"248,731",14.83,6.15,
79,GS,"38,850",200,+0.52%,"5,000","36,098","92,915",18.08,"174,403",-42.14,6.26,
80,GS건설,"42,200",50,-0.12%,"5,000","36,077","85,491",26.36,"883,058",10.85,7.68,
81,한국항공우주,"36,700",600,-1.61%,"5,000","35,773","97,475",13.81,"671,336",47.91,6.39,
82,현대차2우B,"97,300","1,000",-1.02%,"5,000","35,500","36,485",60.69,"69,140",18.92,N/A,
83,롯데쇼핑,"124,500","3,500",+2.89%,"5,000","35,219","28,289",12.21,"122,549",-4.48,-7.70,
84,쌍용양회,"6,970",20,+0.29%,100,"35,119","503,860",2.83,"1,680,638",25.44,7.92,
85,삼성증권,"38,900",400,+1.04%,"5,000","34,738","89,300",27.04,"231,631",7.39,8.15,
86,팬오션,"6,470",130,-1.97%,"1,000","34,587","534,570",10.91,"11,245,277",37.40,3.25,
87,롯데지주,"32,900",200,+0.61%,200,"34,515","104,909",10.91,"100,031",-17.56,-3.03,
88,호텔신라,"87,000",800,+0.93%,"5,000","34,146","39,248",18.38,"321,807",-12.28,-36.74,
89,동서,"33,300","2,000",-5.67%,500,"33,200","99,700",3.91,"369,653",28.36,8.61,
90,키움증권,"127,000","4,500",+3.67%,"5,000","33,018","25,998",23.03,"131,139",5.60,16.97,
91,DB손해보험,"45,250",750,+1.69%,500,"32,037","70,800",41.93,"159,689",5.76,6.92,
92,NH투자증권,"11,350",100,+0.89%,"5,000","31,940","281,409",16.31,"255,992",5.91,10.32,
93,두산퓨얼셀,"48,400",200,-0.41%,100,"31,699","65,494",18.45,"301,583",250.78,4.18,
94,에스원,"82,300",500,+0.61%,500,"31,273","37,999",56.08,"39,511",22.01,10.48,
95,만도,"66,400",400,-0.60%,"1,000","31,180","46,957",24.34,"495,087",539.84,0.37,
96,SK케미칼,"265,500","1,500",-0.56%,"5,000","31,173","11,741",20.18,"121,469",13.78,30.49,
97,더존비즈온,"100,500",0,0.00%,500,"30,432","30,280",44.79,"52,307",55.65,15.09,
98,씨에스윈드,"72,100","2,800",+4.04%,500,"30,406","42,171",9.49,"1,181,320",50.28,9.92,
99,한국가스공사,"32,600",550,+1.72%,"5,000","30,094","92,313",8.97,"145,478",-17.49,-2.24,
100,GS리테일,"38,450",300,-0.77%,"1,000","29,606","77,000",15.57,"202,571",17.58,7.50,
101,메리츠증권,"4,325",35,-0.80%,"1,000","29,235","675,962",14.53,"1,981,719",5.30,15.06,
102,일진머티리얼즈,"63,400",900,+1.44%,500,"29,234","46,111",9.09,"239,213",65.77,8.52,
103,대우조선해양,"26,650",100,+0.38%,"5,000","28,593","107,291",8.93,"249,188",33.02,2.27,
104,BGF리테일,"163,000",500,+0.31%,"1,000","28,173","17,284",32.26,"29,900",22.96,18.60,
105,LG화학우,"363,500","4,500",+1.25%,"5,000","27,949","7,689",63.77,"13,401",55.50,N/A,
106,신세계,"279,000","9,000",+3.33%,"5,000","27,468","9,845",25.21,"147,393",-26.54,-2.81,
107,한솔케미칼,"239,500","14,500",+6.44%,"5,000","27,148","11,335",40.04,"121,802",22.05,24.50,
108,CJ,"92,200","1,000",+1.10%,"5,000","26,901","29,177",19.03,"40,477",15.32,6.24,
109,하이트진로,"38,300",0,0.00%,"5,000","26,861","70,134",7.40,"266,297",31.50,8.23,
110,휠라홀딩스,"43,950",350,-0.79%,"1,000","26,701","60,752",45.01,"275,657",14.82,23.81,
111,대우건설,"6,300",30,+0.48%,"5,000","26,184","415,623",8.76,"3,032,132",9.22,11.06,
112,OCI,"109,500","3,500",-3.10%,"5,000","26,115","23,849",18.61,"331,239",-10.61,-9.89,
113,삼성엔지니어링,"13,250",50,-0.38%,"5,000","25,970","196,000",24.45,"1,133,896",10.61,16.75,
114,한화생명,"2,980",10,+0.34%,"5,000","25,882","868,530",6.78,"2,496,777",11.00,1.90,
115,포스코인터내셔널,"20,950","1,000",+5.01%,"5,000","25,847","123,375",9.50,"1,496,568",10.83,7.69,
116,현대오토에버,"121,000","1,500",-1.22%,500,"25,410","21,000",2.11,"35,404",43.08,11.09,
117,효성티앤씨,"582,000","27,000",+4.86%,"5,000","25,187","4,328",19.05,"193,080",18.41,25.10,
118,한샘,"106,000","2,500",-2.30%,"1,000","24,946","23,534",23.76,"54,203",38.34,10.83,
119,TIGER 200,"41,330",135,+0.33%,0,"24,550","59,400",0.00,"540,018",N/A,N/A,
120,제일기획,"21,200",50,+0.24%,200,"24,389","115,041",32.78,"251,527",15.50,16.11,
121,DB하이텍,"54,300",900,-1.63%,"5,000","24,108","44,399",18.46,"556,126",14.56,23.07,
122,현대차우,"98,600","1,400",-1.40%,"5,000","24,016","24,357",56.87,"98,273",19.17,N/A,
123,DL이앤씨,"123,500","1,000",+0.82%,"5,000","23,908","19,359",20.55,"255,105",N/A,N/A,
124,현대미포조선,"57,900",500,-0.86%,"5,000","23,126","39,942",12.98,"260,057",-118.65,-0.84,
125,한화,"29,450",300,+1.03%,"5,000","22,075","74,959",19.50,"186,859",13.48,4.79,
126,현대로템,"20,050",0,0.00%,"5,000","21,883","109,142",5.86,"613,132",61.69,2.84,
127,두산인프라코어,"10,050",500,+5.24%,"5,000","21,765","216,564",8.17,"18,720,128",14.21,6.47,
128,BNK금융지주,"6,660",110,+1.68%,"5,000","21,707","325,935",39.35,"1,156,203",4.52,7.07,
129,KODEX 200선물인버스2X,"2,180",15,-0.68%,0,"21,488","985,700",3.21,"284,257,427",N/A,N/A,
130,메리츠화재,"17,750",50,-0.28%,500,"21,411","120,625",10.57,"353,465",5.21,12.80,
131,현대위아,"78,500",300,-0.38%,"5,000","21,348","27,195",9.60,"127,867",35.01,1.96,
132,F&F,"138,000","2,000",-1.43%,500,"21,252","15,400",10.53,"54,037",24.77,16.59,
133,현대해상,"23,700",150,+0.64%,500,"21,188","89,400",37.71,"267,051",5.82,6.23,
134,대한유화,"323,500","1,000",+0.31%,"5,000","21,028","6,500",21.35,"31,663",16.53,6.93,
135,오뚜기,"572,000","4,000",-0.69%,"5,000","21,004","3,672",16.53,"2,948",19.53,7.93,
136,한화시스템,"18,950",550,-2.82%,"5,000","20,889","110,230",3.50,"896,442",22.32,9.35,
137,LS,"63,400",0,0.00%,"5,000","20,415","32,200",14.24,"80,834",16.10,3.94,
138,현대백화점,"86,500",300,+0.35%,"5,000","20,243","23,402",16.24,"174,638",28.79,1.65,
139,메리츠금융지주,"15,000",150,+1.01%,500,"20,102","134,011",8.08,"123,124",4.32,15.26,
140,KODEX 단기채권,"102,760",0,0.00%,0,"19,917","19,382",0.00,"36,406",N/A,N/A,
141,KCC,"222,500","18,000",+8.80%,"5,000","19,772","8,886",12.01,"156,561",3.32,12.79,
142,한화에어로스페이스,"38,950",300,-0.76%,"5,000","19,720","50,630",17.91,"273,215",16.31,4.78,
143,HDC현대산업개발,"29,150",50,-0.17%,"5,000","19,212","65,907",11.06,"424,430",8.11,8.85,
144,대웅,"32,150",700,-2.13%,500,"18,693","58,142",5.10,"171,251",19.00,15.10,
145,프레스티지바이오파마,"30,750",100,+0.33%,0,"18,480","60,096",0.00,"429,729",N/A,N/A,
